Name,Author,User Rating,Reviews,Price,Year,Genre,Price Category,Popularidad,Años en Top,Author Frequency,Rating Category,Rating x Review,Log Reviews
10-Day Green Smoothie Cleanse,JJ Smith,4.7,17350,8,2016,Non Fiction,Barato,Alta,1,1,Bueno,81545.0,9.761405420601672
11/22/63: A Novel,Stephen King,4.6,2052,22,2011,Fiction,Caro,Baja,1,4,Bueno,9439.199999999999,7.627057417018934
12 Rules for Life: An Antidote to Chaos,Jordan B. Peterson,4.7,18979,15,2018,Non Fiction,Intermedio,Alta,1,1,Bueno,89201.3,9.85114107216392
1984 (Signet Classics),George Orwell,4.7,21424,6,2017,Fiction,Barato,Alta,1,1,Bueno,100692.8,9.97231374346598
"5,000 Awesome Facts (About Everything!) (National Geographic Kids)",National Geographic Kids,4.8,7665,12,2019,Non Fiction,Intermedio,Media,1,1,Excelente,36792.0,8.9445502459405
A Dance with Dragons (A Song of Ice and Fire),George R. R. Martin,4.4,12643,11,2011,Fiction,Intermedio,Media,1,2,Regular,55629.200000000004,9.444938073335509
A Game of Thrones / A Clash of Kings / A Storm of Swords / A Feast of Crows / A Dance with Dragons,George R. R. Martin,4.7,19735,30,2014,Fiction,Caro,Alta,1,2,Bueno,92754.5,9.890199658209193
A Gentleman in Moscow: A Novel,Amor Towles,4.7,19699,15,2017,Fiction,Intermedio,Alta,1,1,Bueno,92585.3,9.88837391472608
"A Higher Loyalty: Truth, Lies, and Leadership",James Comey,4.7,5983,3,2018,Non Fiction,Barato,Media,1,1,Bueno,28120.100000000002,8.696844519654313
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2016,Fiction,Barato,Alta,2,2,Bueno,109700.79999999999,10.07949756671628
A Man Called Ove: A Novel,Fredrik Backman,4.6,23848,8,2017,Fiction,Barato,Alta,2,2,Bueno,109700.79999999999,10.07949756671628
A Patriot's History of the United States: From Columbus's Great Discovery to the War on Terror,Larry Schweikart,4.6,460,2,2010,Non Fiction,Barato,Baja,1,1,Bueno,2116.0,6.133398042996649
A Stolen Life: A Memoir,Jaycee Dugard,4.6,4149,32,2011,Non Fiction,Caro,Media,1,1,Bueno,19085.399999999998,8.330863613224745
A Wrinkle in Time (Time Quintet),Madeleine L'Engle,4.5,5153,5,2018,Fiction,Barato,Media,1,1,Bueno,23188.5,8.54752839121231
